,row,CUI Part,CUI Series,status,RECOM series,RECOM Series matches,vin_min,vin_max,vout_1,vout_2,isolation,num_outputs,RECOM_Artikelnummer,RECOM_Bezeichnung 1,RECOM_Inputvoltage,RECOM_Outputvoltage,RECOM_Isolation,RECOM_ProductgroupBezeichnung,score
138,187,VHK100W-Q24-S48,vhk100w,,RP100H-RW,63,9.0,36.0,48.0,,1500.0,1.0,30004573,RP100H-2448SRW/N,9-36,48,2.25KV,RP100H-RW,4.0
139,187,VHK100W-Q24-S48,vhk100w,,RP100H-RW,63,9.0,36.0,48.0,,1500.0,1.0,30004979,RP100H-2448SRW/P-ST,9-36,48,2.25KV,RP100H-RW,4.0
140,187,VHK100W-Q24-S48,vhk100w,,RP100H-RW,63,9.0,36.0,48.0,,1500.0,1.0,30004578,RP100H-2448SRW/N-HC,9-36,48,2.25KV,RP100H-RW,4.0
141,187,VHK100W-Q24-S48,vhk100w,,RP100H-RW,63,9.0,36.0,48.0,,1500.0,1.0,30004583,RP100H-2448SRW/P,9-36,48,2.25KV,RP100H-RW,4.0
142,187,VHK100W-Q24-S48,vhk100w,,RP100H-RW,63,9.0,36.0,48.0,,1500.0,1.0,30004588,RP100H-2448SRW/P-HC,9-36,48,2.25KV,RP100H-RW,4.0
143,190,VHK100W-Q24-S24,vhk100w,,RP100H-RW,63,9.0,36.0,24.0,,1500.0,1.0,30004577,RP100H-2424SRW/N-HC,9-36,24,2.25KV,RP100H-RW,4.0
144,190,VHK100W-Q24-S24,vhk100w,,RP100H-RW,63,9.0,36.0,24.0,,1500.0,1.0,30004582,RP100H-2424SRW/P,9-36,24,2.25KV,RP100H-RW,4.0
145,190,VHK100W-Q24-S24,vhk100w,,RP100H-RW,63,9.0,36.0,24.0,,1500.0,1.0,21000411,RP100H-2424SRW/P-HC-X9,9-36,24,2.25KV,RP100H-RW,4.0
146,190,VHK100W-Q24-S24,vhk100w,,RP100H-RW,63,9.0,36.0,24.0,,1500.0,1.0,30004572,RP100H-2424SRW/N,9-36,24,2.25KV,RP100H-RW,4.0
147,190,VHK100W-Q24-S24,vhk100w,,RP100H-RW,63,9.0,36.0,24.0,,1500.0,1.0,30004587,RP100H-2424SRW/P-HC,9-36,24,2.25KV,RP100H-RW,4.0
